scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
76,39.505005,18.936157,1,35.38513,8.43811,1,47.3824195861816,8.18302345275879,1,39.505005,-6.881714,1,44.937134,-9.32312,1,50.03357,-10.406494,1
77,39.44397,18.707275,1,35.308838,8.239746,1,47.3049736022949,7.93530368804932,1,38.970947,-6.881714,1,44.433594,-9.353638,1,49.28589,-10.3302,1
78,39.42871,18.554688,1,35.04944,8.132935,1,47.0456657409668,7.83210372924805,1,38.45215,-6.8359375,1,43.823242,-9.3688965,1,48.8739,-10.4522705,1
79,39.276123,18.371582,1,34.820557,7.9193115,1,46.8170127868652,7.62770080566406,1,37.93335,-6.866455,1,43.182373,-9.44519,1,48.14148,-10.391235,1
80,39.001465,18.157959,1,34.561157,7.797241,1,46.5548248291016,7.40744781494141,1,37.368774,-6.8969727,1,42.648315,-9.460449,1,47.576904,-10.4522705,1
81,38.78784,17.944336,1,34.194946,7.6141357,1,46.1899223327637,7.26688003540039,1,36.834717,-6.92749,1,42.08374,-9.506226,1,47.1344,-10.498047,1
82,38.467407,17.76123,1,33.78296,7.4920654,1,45.7795219421387,7.20485877990723,1,36.2854,-6.8969727,1,41.503906,-9.552002,1,46.554565,-10.513306,1
83,38.17749,17.578125,1,33.462524,7.3394775,1,45.4597778320313,7.08267688751221,1,35.720825,-6.8511963,1,40.95459,-9.536743,1,45.98999,-10.574341,1
84,37.963867,17.456055,1,33.15735,7.247925,1,45.153938293457,6.96189785003662,1,35.202026,-6.8206787,1,40.32898,-9.536743,1,45.25757,-10.528564,1
85,37.872314,17.27295,1,32.88269,7.2631836,1,44.879524230957,6.98757362365723,1,34.77478,-6.6833496,1,39.82544,-9.536743,1,44.937134,-10.620117,1
