scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
73,-25.924683,16.403198,1,-32.65381,12.34436,1,-22.8082008361816,7.43885231018066,1,-20.126343,-6.30188,1,-13.839722,-10.116577,1,-9.765625,-11.352539,1
74,-26.519775,16.021729,1,-33.294678,12.039185,1,-23.484977722168,7.06226015090942,1,-20.828247,-6.6833496,1,-14.450073,-10.421753,1,-10.421753,-11.428833,1
75,-27.145386,15.731812,1,-33.935547,11.749268,1,-24.0983829498291,6.82684707641602,1,-21.408081,-6.9122314,1,-15.045166,-10.528564,1,-11.0321045,-11.428833,1
76,-27.70996,15.579224,1,-34.576416,11.672974,1,-24.7665500640869,6.69637489318848,1,-22.033691,-7.0343018,1,-15.625,-10.620117,1,-11.627197,-11.459351,1
77,-28.35083,15.457153,1,-35.232544,11.550903,1,-25.4175987243652,6.58432769775391,1,-22.735596,-7.156372,1,-16.26587,-10.681152,1,-12.237549,-11.459351,1
78,-28.930664,15.289307,1,-35.873413,11.489868,1,-26.1037483215332,6.43480730056763,1,-23.4375,-7.30896,1,-16.967773,-10.772705,1,-12.893677,-11.505127,1
79,-29.47998,15.182495,1,-36.42273,11.291504,1,-26.6055793762207,6.32928848266602,1,-24.108887,-7.446289,1,-17.593384,-10.772705,1,-13.504028,-11.550903,1
80,-30.059814,15.106201,1,-36.972046,11.230469,1,-27.1844863891602,6.21014165878296,1,-24.70398,-7.5683594,1,-18.157959,-10.803223,1,-14.099121,-11.566162,1
81,-30.62439,14.99939,1,-37.521362,11.184692,1,-27.7274475097656,6.17677688598633,1,-25.405884,-7.6293945,1,-18.829346,-10.864258,1,-14.755249,-11.505127,1
82,-31.11267,14.953613,1,-38.146973,11.199951,1,-28.4153938293457,6.07195091247559,1,-26.016235,-7.7209473,1,-19.470215,-10.894775,1,-15.335083,-11.520386,1
83,-31.585693,14.9383545,1,-38.650513,11.230469,1,-28.9394283294678,6.06376075744629,1,-26.672363,-7.751465,1,-20.126343,-10.925293,1,-15.960693,-11.535645,1
84,-32.01294,14.892578,1,-39.154053,11.245728,1,-29.4852523803711,6.00032234191895,1,-27.297974,-7.827759,1,-20.721436,-10.971069,1,-16.616821,-11.520386,1
85,-32.424927,14.862061,1,-39.535522,11.230469,1,-29.8330307006836,6.04764366149902,1,-27.96936,-7.827759,1,-21.392822,-10.955811,1,-17.227173,-11.59668,1
