scorer,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking,DLC_JointTracking
bodyparts,Crest,Crest,Crest,Hip,Hip,Hip,Knee,Knee,Knee,Ankle,Ankle,Ankle,Metatarsal,Metatarsal,Metatarsal,ToeTip,ToeTip,ToeTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
97,115.64636,13.824463,1,108.428955,8.804321,1,118.013793945313,1.58415603637695,1,101.486206,-2.39563,1,103.21045,-9.674072,1,107.925415,-11.917114,1
98,115.38696,13.763428,1,108.306885,8.865356,1,117.761039733887,1.47489309310913,1,101.16577,-2.2125244,1,102.645874,-9.58252,1,107.22351,-11.932373,1
99,115.14282,13.73291,1,108.09326,8.865356,1,117.426086425781,1.32226181030273,1,100.76904,-2.0751953,1,102.005005,-9.44519,1,106.552124,-11.84082,1
100,114.94446,13.671875,1,107.8949,8.850098,1,117.138717651367,1.19818162918091,1,100.43335,-1.953125,1,101.45569,-9.384155,1,105.88074,-11.84082,1
101,114.715576,13.595581,1,107.69653,8.758545,1,116.820510864258,0.964122295379639,1,100.05188,-1.8310547,1,100.89111,-9.384155,1,105.19409,-11.84082,1
102,114.471436,13.504028,1,107.46765,8.728027,1,116.525985717773,0.85741138458252,1,99.71619,-1.6784668,1,100.28076,-9.3688965,1,104.599,-11.810303,1
103,114.30359,13.458252,1,107.33032,8.666992,1,116.226211547852,0.613230705261231,1,99.365234,-1.5563965,1,99.71619,-9.231567,1,103.86658,-11.779785,1
104,114.16626,13.35144,1,107.19299,8.560181,1,115.973190307617,0.380449771881104,1,99.07532,-1.4801025,1,99.105835,-9.124756,1,103.24097,-11.734009,1
105,114.05945,13.259888,1,107.08618,8.4991455,1,115.747703552246,0.193846702575684,1,98.81592,-1.3275146,1,98.54126,-9.094238,1,102.56958,-11.703491,1
106,113.95264,13.214111,1,106.97937,8.4991455,1,115.437301635742,-0.013399600982666,1,98.480225,-1.2207031,1,97.90039,-8.972168,1,101.882935,-11.734009,1
